C:\Users\Eon\miniforge3\envs\lmy12\python.exe C:\Users\Eon\PycharmProjects\DCDDPM\train.py
CUDA 可用，有 1 个 GPU 可用
device: cuda:0
Epoch [428/1000], Loss: 12.7555, Used: 4.8454s
Epoch [429/1000], Loss: 13.1238, Used: 4.8417s
Epoch [430/1000], Loss: 13.5919, Used: 4.8438s
Epoch [431/1000], Loss: 12.5889, Used: 4.8425s
Epoch [432/1000], Loss: 15.3848, Used: 4.8436s
Epoch [433/1000], Loss: 12.6784, Used: 4.8423s
Epoch [434/1000], Loss: 11.8954, Used: 4.8472s
Epoch [435/1000], Loss: 13.4246, Used: 4.8436s
Epoch [436/1000], Loss: 13.8731, Used: 4.8444s
Epoch [437/1000], Loss: 12.2574, Used: 4.8475s
Epoch [438/1000], Loss: 12.4878, Used: 4.8441s
Epoch [439/1000], Loss: 12.3382, Used: 4.8440s
Epoch [440/1000], Loss: 13.8049, Used: 4.8441s
Epoch [441/1000], Loss: 13.3962, Used: 4.8459s
Epoch [442/1000], Loss: 14.6707, Used: 4.8443s
Epoch [443/1000], Loss: 11.8649, Used: 4.8460s
Epoch [444/1000], Loss: 13.5697, Used: 4.8448s
Epoch [445/1000], Loss: 12.7263, Used: 4.8436s
Epoch [446/1000], Loss: 11.1964, Used: 4.8457s
Epoch [447/1000], Loss: 11.8038, Used: 4.8419s
Epoch [448/1000], Loss: 14.0096, Used: 4.8460s
Epoch [449/1000], Loss: 14.0637, Used: 4.8448s
